Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,10772
Base Time Seconds,1668041511
Base Time Fractional,.041642375
Base Time,11/10/2022 00:51:51.041642375
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,98006445.90498,99425103.54003,7304555.283145,96576200.72526,99642079.30221,100096153.4882
1.753485364,98186933.1601,99730543.15723,6903103.012069,96482342.73777,99773749.98802,100164326.094
3.565692606,98123137.9016,99596454.75207,7655092.434979,96415190.97344,99629293.42604,100031906.0268
4.987154242,98097270.50043,99616143.3699,9172328.937741,96409081.84775,99625716.96626,100038072.6715
6.408167364,98051497.49908,99627262.59718,8213679.178969,96425743.80941,99641288.79047,100045362.4105
7.829625212,98106779.96477,99600870.60707,8606643.376744,96383667.88873,99583522.34979,100034052.902
9.250642515,98170629.53968,99635529.37266,8614698.18472,96395131.85651,99596577.29511,100020387.6969
10.672126212,98020099.11314,99696391.68921,8001123.718381,96443475.66074,99279882.7062,99959313.70693
12.093154182,98394823.52063,99854409.29167,7295777.922755,97024210.97697,99333508.04978,100092646.4543
13.515075333,98505778.03258,99709897.57387,7940174.436376,96752674.8532,99935285.96954,100343778.321
14.935635651,98712490.68337,99597028.44658,5587929.359643,96465608.29345,99585779.62329,100142841.5642
16.357557712,98269520.19413,99856938.59911,6853224.200975,96719589.08787,99557732.70507,99943426.82805
17.778579075,98366683.60296,99582747.08199,7248227.042793,96386341.75377,99763784.16554,100181667.5379
19.200052075,98214743.35394,99636958.85932,6307977.722916,96231398.08859,99641243.07713,100083461.3213
20.621517712,98372004.09629,99663516.8014,6662347.074444,96375056.66471,99452562.46512,99958255.0205
22.042532893,97966253.65423,99620166.14423,6853270.144663,96734391.17392,99607699.16773,100104682.3325
23.463991348,98338525.07631,99826926.06101,6197741.480915,95717781.23116,100818536.9283,100308257.6872
24.885002772,98049618.97386,99572384.98012,5878158.518419,96752362.06515,99734065.19329,100173308.3044
26.306480742,98293295.52476,99708531.21994,5915008.91465,96722466.90545,99651081.77056,100171544.3786
27.727497833,98207934.88325,99697792.83931,5977361.81358,96678265.53971,99677314.42564,100080091.5161
29.149410803,98130277.52073,99659508.31328,6110117.615443,96699246.76054,99703008.46827,100077216.532
30.569958651,98193575.65892,99672896.02086,5735648.404533,96696666.017,99675111.6,100104021.2822
31.991879500,98231073.74535,99662253.998,5720859.236306,96643281.95872,99685388.58762,100092980.6902
33.412893318,98242850.37206,99638509.03642,5694478.066378,96641600.4382,99687612.76253,100069805.0907
34.834353227,98228438.91367,99662602.87066,6162118.380705,96669808.41668,99697501.00231,100081963.6772
36.255827409,98150267.93135,99613512.16943,6072803.603166,96666395.33921,99729041.14258,100164610.6392
37.676855681,98199383.37139,99623471.25069,6047028.630961,96664436.16342,99719256.55012,100222719.3053
39.098320803,98055063.07584,99634435.24549,6029427.178941,96505779.13789,99379856.66749,100498354.886
40.519349772,98255340.38237,99692150.62445,6204451.453349,96666216.84613,99694939.66552,100120306.4386
41.940822257,98062829.60036,99646696.66065,6184805.23077,96609965.70558,99727858.07859,100062995.4958
43.361841318,98074415.60617,99611966.18754,6422204.849484,96621643.74643,99762749.65631,100013404.6846
44.783766712,98016517.41846,99611281.39276,6317971.041767,96625286.84183,99712144.07301,100125544.289
46.204330227,98089290.92648,99696705.10767,6303732.737414,96564711.06655,99679295.03431,100071950.0963
47.626249348,98102311.88391,99624510.44804,7152540.716305,96650686.72497,99690512.20905,100035018.3624
49.047264015,98027880.05941,99656588.34443,7987743.953689,96577292.66508,99684970.89086,100039607.7288
50.468747227,97999457.63359,99661875.798,9090959.52045,96576996.79218,99692922.05056,100049348.4012
51.890211954,98014049.05405,99662404.45093,6728923.543033,96562323.69323,99661411.02676,100076061.0413
53.311240469,97976095.9427,99562678.25812,6632301.875211,96601276.53874,99721827.92108,100070765.559
54.732705802,97914033.71352,99669660.27135,6818763.885118,96556648.27853,99684904.39994,100036584.6329
56.153720802,97934553.05988,99656514.3557,95443576.16937,96596381.27075,99705582.41394,100031926.3431
57.675223257,97883848.25184,99678495.22198,95376859.50866,96582717.80493,99701448.66918,100031401.0128
59.096239105,97946661.28019,99670974.3882,95385190.21792,96569389.68601,99696604.52086,100045992.8882
60.518157075,98001281.09727,99674972.6855,95364996.88629,96568337.42456,99685217.05473,100020673.8792
61.938714984,97957630.64382,99661047.08686,95341856.51038,96491056.2953,99656590.94389,100064998.1778
63.360631681,98047329.01484,99476769.47926,95363815.03351,96559545.98387,99707539.12249,100044958.6581
64.781650287,97947554.16399,99657744.10555,95337345.55245,96532071.83857,99698529.58763,100035603.2441
66.203114560,97947962.2519,99670403.40289,95374896.20997,96542740.58667,99692015.79088,100020064.2301
67.624576408,97954151.80745,99676687.37998,95360001.59697,96530454.38998,99694102.36993,100038310.0072
69.045600833,97975076.6843,99675635.54671,95349462.52279,96529691.67392,99693638.98416,100047262.8795
70.467062318,97910968.03493,99670557.71518,95339522.31758,96574406.66105,99669663.39184,100006225.1009
71.888079772,97741070.98376,99685134.07623,95364553.10153,96501121.73982,99720930.05355,100074021.6703
73.309546863,97828618.50672,99649092.60834,95330370.36658,96527468.6338,99677955.16725,100042774.3015
74.730559682,97881505.663,99725546.48223,95325018.31988,96534543.4647,99696361.56784,100054262.4526
76.152485985,97943804.23037,99674396.47885,95353347.12309,96530101.69812,99704422.30643,100054617.4928
77.573046227,97926675.78651,99682555.89587,95340421.73061,96511424.60686,99706219.39471,100070636.0643
78.994967379,97942664.38869,99656136.0621,95301562.76534,96524712.33945,99693381.90647,100056240.0694
80.415978651,97909327.41223,99645451.62133,95325829.93481,96537913.81939,99713895.5919,100055772.262
81.837454803,97942430.24826,99648293.72005,95319800.08532,96545669.18394,99701494.70804,100041441.749
83.258906470,97838129.87054,99671453.00465,95347784.69975,96523214.9239,99692073.78058,100050166.6232
84.679922409,97875709.84135,99668350.84579,95306391.74471,96545430.28831,99694513.08762,100040113.4586
