Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,15074
Base Time Seconds,1671237375
Base Time Fractional,.138751405
Base Time,12/17/2022 00:36:15.138751405
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,95994554.46264,92646642.09729,90669648.03364,94629882.24455,87783624.49393,85065458.37858
1.421472303,96002301.48798,92704084.81784,90573050.34401,94523537.65844,87767092.2268,85089950.59528
2.842492878,95976109.40471,92673670.04471,90551318.4508,94707790.77159,87747282.86076,85105956.38942
4.263969151,95983768.0396,92614849.92392,90597484.06071,94638359.88224,87764643.59653,85040330.7639
5.684998697,95948530.67748,92658043.46533,90574110.61547,94655613.14999,87759439.95325,85030247.25964
7.106474060,95924517.6936,92610535.52633,90550510.53951,94634980.38927,87756258.11289,85003996.71687
8.527492727,95949115.10425,92624466.888,90545013.1241,94639689.6577,87802440.75469,85043343.58226
9.949419878,95956886.20953,92596036.43406,90483790.96962,94614153.85608,87746764.19932,84989547.50685
11.369986636,95948485.21515,92640834.11214,90497355.63121,94588660.20136,87748339.7517,84970826.75874
12.791916727,95959501.66067,92623739.2266,90506983.94686,94615375.45428,87765782.73283,84947990.09309
14.212942788,95939756.38638,92636552.96673,90506921.56868,94600007.45844,87759205.68876,84987199.98498
15.634419454,95940871.17475,92657815.7923,90488121.37429,94596992.48607,87765829.20324,84922527.95628
17.055903939,95945107.59909,92661288.09163,90500021.54462,94618384.11426,87759526.21406,84861125.05041
18.476923515,95932241.62807,92655347.89162,90498522.23465,94633196.74126,87779632.25137,84825211.02038
19.898401818,95921676.19446,92663961.66125,90505875.90564,94641956.27035,87814834.40639,84774854.69771
21.319419727,95936042.3784,92634433.16986,90499334.10195,94645234.05925,87819407.93651,84863943.27084
22.740891818,95932487.46696,92659776.30637,90527413.31307,94685138.93236,87878507.75758,85001368.55082
24.161920303,95904282.93638,92641204.51005,90439849.37201,94643628.96219,87834154.81536,84862088.31791
25.583835970,95953060.16164,92672220.11403,90474523.05788,94650638.67336,87824459.81671,84824589.73798
27.004402061,95956999.83173,92680185.63585,90484043.32351,94681389.08541,87868080.33002,84911921.55228
28.426326515,95958302.51804,92679471.01669,90496692.42268,94662827.64667,87847473.33947,84891860.24921
29.847344485,95954884.77369,92692405.95594,90500419.8128,94666695.73066,87866975.31645,84895235.25638
31.268819849,95953950.47,92698339.8958,90701031.21822,94699203.37376,87925584.23737,84934158.08897
32.690301091,96042694.12634,92742793.76625,90489795.77301,94497832.58567,87659993.06378,84903997.46234
34.111317849,95846869.74231,92627495.24162,90524407.91794,94618571.13565,87812293.16294,84961939.42265
35.532790788,95972892.73451,92674813.35904,90519117.9591,94605586.19397,87817723.95046,84953181.48381
36.953814970,95963444.0058,92660599.37769,90536844.45505,94712141.44994,87840002.67406,84969190.34795
